identifier,canonical_smiles,molecular_weight,alogp,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors_lipinski,hydrogen_bond_donors_lipinski,lipinski_rule_of_five_violations,qed_drug_likeliness,np_classifier_superclass,parent_family,pains_alert,DsbA_affinity,Irp3_affinity,row_idx,UMAP1,UMAP2,consensus_score,heavy_atom_count,DsbA_LE,Irp3_LE,consensus_LE,lipinski_violations,GI_absorption,BBB_permeant,PAINS_alerts,AMES,Hepatotoxicity,LD50_mg_kg,ProTox_class,bioavailability_score,ADMET_pass
CNP0085979.0,C1=CC=C2C(=C1)CC1OC3=CC=CC=C3C2O1,224.26,3.07,18.46,0,2,0,0,0.68,Isoflavonoids,Flavonoids,False,-7.008,-7.954,63734,3.0052738,6.69161,-7.481,17,0.412235294117647,0.4678823529411764,0.4400588235294117,0,High,Yes,0,No,No,470,4,0.55,True
CNP0329726.1,C1=CC[C@@H]2CC3=C4C(=C5OCOC5=CC4=CCN3)C2=C1,265.31,1.27,30.49,0,3,1,0,0.77,Tyrosine alkaloids,Alkaloids,False,-7.075,-8.579,247117,1.8987627,7.8176904,-7.827,20,0.35375,0.42895,0.39135,0,High,Yes,0,No,No,800,4,0.55,True
CNP0383885.0,CC1=CC2=CC(C)=C(CCC3=CCOC3=O)C(C)=C2CCC1,296.41,4.46,26.3,3,2,0,0,0.77,Diterpenoids,Terpenoids,False,-7.25,-9.64,123120,1.5582231,6.292925,-8.445,22,0.3295454545454545,0.4381818181818182,0.3838636363636364,1,High,Yes,0,No,No,2000,4,0.55,True
CNP0104532.0,C1=C2C=C3C4=NC5=CC=CC=C5C4=CCN3C=C2CCC1,272.35,4.36,15.6,0,2,0,0,0.68,Tryptophan alkaloids,Alkaloids,False,-7.127,-8.709,159921,4.0410175,7.642394,-7.917999999999999,21,0.3393809523809524,0.4147142857142857,0.3770476190476191,0,High,Yes,0,No,No,25,2,,False
CNP0309954.0,CC1=CC=C2C(=O)C(C(C)C)=C3OC(C)(C)C4=CC=C1C2=C34,292.38,4.98,26.3,1,2,0,0,0.74,Sesquiterpenoids,Terpenoids,False,-7.11,-9.118,2883,1.1346369,7.0752735,-8.114,22,0.3231818181818182,0.4144545454545454,0.3688181818181818,0,High,Yes,0,No,Yes,8000,6,0.85,False
CNP0467281.2,C1=CC2=C(C=C1C1CCCCC1)[C@@H]1CCC[C@H]3NCCN2[C@@H]31,296.46,4.16,15.27,1,2,1,0,0.84,Lysine alkaloids,Alkaloids,False,-7.318,-8.832,31905,3.087602,5.840158,-8.075,22,0.3326363636363636,0.4014545454545455,0.3670454545454545,0,High,Yes,0,No,Yes,208,3,0.55,False
CNP0539396.1,O=C(C1=CC=C2C=[N+]([O-])CC[C@H]2C1)C1=CC=NC2=CC=CC=C12,304.35,3.28,56.03,2,3,0,0,0.49,Tryptophan alkaloids,Alkaloids,False,-7.79,-9.088,120540,5.0627575,7.00016,-8.439,23,0.338695652173913,0.3951304347826087,0.3669130434782608,0,High,Yes,0,Yes,Yes,536,4,0.55,False
CNP0345660.0,CN1C(=CC=CC2=CC=C3C=CC=CC3=N2)C=CC2=CC=CC=C21,310.4,5.3,16.13,2,2,0,1,0.64,Tryptophan alkaloids,Alkaloids,False,-7.724,-9.838,24368,4.8564196,6.736162,-8.780999999999999,24,0.3218333333333333,0.4099166666666666,0.365875,0,High,Yes,0,No,Yes,1450,4,0.55,False
CNP0163421.0,CN1C=CC2=CC=C(C(=O)NC3=CC=C(C(N)=O)C=C3)C=C21,293.33,2.53,77.12,3,3,2,0,0.78,Anthranilic acid alkaloids,Alkaloids,False,-7.352,-8.405,203033,3.92187,4.7721577,-7.8785,22,0.3341818181818182,0.3820454545454545,0.3581136363636363,0,High,Yes,0,Yes,No,1000,4,0.55,False
CNP0307339.0,CC1=CC(C)(C)NC2=CC=C(CC3=CC=C4N=C(C)C=C(C)C4=C3)C=C12,342.49,6.05,24.92,2,2,1,1,0.61,Tryptophan alkaloids,Alkaloids,False,-8.124,-10.46,32588,4.0464444,5.6245704,-9.292000000000002,26,0.3124615384615384,0.4023076923076923,0.3573846153846154,1,High,Yes,0,Yes,Yes,1450,4,0.55,False
CNP0558567.0,C1=CC=C2NC3=C(NC2=C1)C1=CC=C2CCCCC2=C1C1=C2C=CC=CC2=CC=C31,386.5,7.83,24.06,0,2,2,1,0.26,Tyrosine alkaloids,Alkaloids,False,-8.9,-12.0,175091,4.87871,6.834686,-10.45,30,0.2966666666666667,0.4,0.3483333333333334,1,Low,No,1,No,Yes,800,4,0.55,False
CNP0437887.0,C1=CC=C(C2=CN(C3=CC=CC=C3)C3=C2C2=NN=NN2C=N3)C=C1,312.34,3.13,60.9,2,6,0,0,0.5,Anthranilic acid alkaloids,Alkaloids,False,-7.581,-8.999,23948,4.9710464,7.06617,-8.290000000000001,24,0.315875,0.3749583333333333,0.3454166666666667,0,High,Yes,0,Yes,Yes,1000,4,,False
CNP0342766.0,CC1=CC=C2OC=C(C3CC(=O)OC4=C3OC(C)=CC4=O)C(=O)C2=C1,338.32,2.8,86.72,1,6,0,0,0.63,Chromanes,Phenolics,False,-7.694,-9.249,188000,2.744629,7.227284,-8.4715,25,0.30776,0.36996,0.33886,0,High,Yes,0,Yes,Yes,400,4,0.55,False
CNP0478949.0,N=C(N)C1=CC=C2NC(C3=CC=CC(OC4CCCC4)=C3O)=CC2=C1,335.41,4.15,95.12,4,3,4,0,0.43,Tryptophan alkaloids,Alkaloids,False,-7.694,-9.244,184414,3.5291617,6.988964,-8.469,25,0.30776,0.36976,0.3387599999999999,0,High,Yes,0,No,Yes,500,4,0.55,False
CNP0167861.2,C[C@H]1[C@@H]2C3=CC4=C(C=C3O[C@]35OCOC3=CC(=O)C(=C[C@H]1C)[C@H]25)OCO4,354.36,2.89,63.22,0,6,0,0,0.71,Lignans,Phenolics,False,-7.286,-10.13,11498,1.8723564,7.697366,-8.708,26,0.2802307692307692,0.3896153846153846,0.3349230769230769,0,High,Yes,0,No,No,860,4,0.85,True
CNP0499736.1,C1=C/C2=C/C3=CC=C(CC4=CC=C(/C=C5/C=CC(=CC1=N2)N5)N4)N3,312.38,2.24,59.73,0,1,3,0,0.57,Tryptophan alkaloids,Alkaloids,False,-7.466,-8.403,56893,4.997081,5.3226123,-7.9345,24,0.3110833333333333,0.350125,0.3306041666666667,0,High,Yes,0,No,Yes,3066,5,0.55,False
CNP0253821.1,O=C1OC2=CC=CC=C2C(=O)/C1=C\NC1=CC=C(C2=CC3=CC=CC=C3OC2=O)C=C1,409.4,4.56,85.61,3,6,1,0,0.18,Coumarins,Phenolics,False,-8.839,-11.47,140649,4.2959743,6.996321,-10.1545,31,0.2851290322580645,0.37,0.3275645161290322,0,High,No,0,Yes,Yes,5000,5,0.55,False
CNP0374284.1,O=C1NC(=O)[C@H]2[C@@H]1[C@@H](C(=O)C1=CC=CC=C1)N1C=CC3=CC=CC=C3[C@H]21,344.37,2.17,66.48,2,4,1,0,0.67,Peptide alkaloids,Alkaloids,False,-7.595,-8.991,42294,4.4676485,7.46385,-8.293,26,0.2921153846153846,0.3458076923076923,0.3189615384615384,0,High,No,0,No,No,10100,6,0.55,True
CNP0483210.0,BrC1=CC=CC(C2=CC(NCC3=CC=NC=C3)=[N+]3NC=NC3=N2)=C1,382.25,2.98,70.59,4,4,2,0,0.53,Nicotinic acid alkaloids,Alkaloids,False,-7.076,-8.219,110795,4.338282,6.02978,-7.647499999999999,24,0.2948333333333333,0.3424583333333333,0.3186458333333333,0,High,Yes,0,Yes,Yes,300,3,,False
