identifier,best_affinity_kcal_mol,runtime_seconds
CNP0000179.1,-7.501,66.8
CNP0000481.0,-4.906,8.3
CNP0000498.0,-4.826,7.1
CNP0001141.0,-5.072,6.2
CNP0002551.0,-4.017,8.7
CNP0002558.0,-4.462,4.7
CNP0002681.0,-5.873,99.5
CNP0002810.0,-5.047,10.5
CNP0002880.2,-8.088,52.9
CNP0003127.0,-5.449,62.4
CNP0004165.1,-7.11,38.8
CNP0006960.0,-7.686,9.9
CNP0007509.0,-6.903,38.0
CNP0009483.0,-5.479,18.5
CNP0009894.0,-8.945,49.6
CNP0010697.1,-7.414,25.0
CNP0012401.1,-8.968,124.2
CNP0012762.1,-7.42,53.4
CNP0012768.1,-7.665,202.1
CNP0012819.1,-7.539,91.2
CNP0015312.1,-8.1,91.6
CNP0017878.1,-6.889,12.8
CNP0028182.0,-8.322,13.0
CNP0029319.0,-4.079,7.4
CNP0031886.2,-8.42,45.7
CNP0032690.0,-8.239,59.3
CNP0033628.0,-7.998,42.3
CNP0034186.0,-4.677,6.8
CNP0035382.4,-7.672,7.7
CNP0036237.0,-4.432,7.1
CNP0040136.0,-7.015,50.8
CNP0043166.0,-4.705,6.4
CNP0044216.1,-8.22,88.2
CNP0046119.0,-5.973,13.4
CNP0046663.0,-4.28,6.8
CNP0046877.0,-4.623,13.6
CNP0048666.3,-8.917,15.1
CNP0050017.0,-8.057,11.1
CNP0052569.0,-3.977,5.2
CNP0057121.1,-7.774,156.5
CNP0057156.1,-9.494,69.1
CNP0060412.2,-4.872,8.9
CNP0061244.0,-6.014,7.9
CNP0065073.1,-5.229,13.9
CNP0065586.0,-6.182,6.9
CNP0067099.1,-6.753,80.5
CNP0068366.1,-6.258,13.7
CNP0068852.0,-7.782,69.8
CNP0069103.1,-9.097,154.5
CNP0070284.1,-6.94,14.1
CNP0071185.1,-8.559,41.3
CNP0071334.1,-7.361,53.3
CNP0071487.1,-8.448,48.3
CNP0072275.2,-9.279,134.9
CNP0073174.0,-6.858,46.6
CNP0073685.1,-5.727,32.0
CNP0075322.0,-4.819,6.6
CNP0075379.0,-3.829,10.9
CNP0075809.1,-7.814,8.2
CNP0075914.1,-9.09,29.8
CNP0077273.0,-4.914,6.5
CNP0077944.1,-7.797,11.2
CNP0081604.1,-7.542,75.4
CNP0084192.0,-7.119,6.4
CNP0085480.0,-7.56,15.0
CNP0085700.1,-8.748,10.0
CNP0085979.0,-7.954,10.0
CNP0086772.0,-8.236,44.2
CNP0087319.1,-4.391,25.2
CNP0087845.1,-8.23,79.0
CNP0088043.0,-8.235,25.5
CNP0088268.1,-7.151,9.2
CNP0089619.1,-7.736,146.0
CNP0091102.0,-5.399,10.5
CNP0094084.0,-5.079,6.7
CNP0096096.1,-8.175,210.4
CNP0097100.1,-6.855,112.6
CNP0097924.1,-8.336,81.9
CNP0098724.1,-8.249,46.5
CNP0099605.1,-7.853,117.0
CNP0101842.1,-7.361,65.6
CNP0102021.1,-10.24,272.9
CNP0102652.3,-6.311,230.0
CNP0104532.0,-8.709,9.7
CNP0105560.0,-7.023,32.7
CNP0106028.1,-5.681,9.4
CNP0106375.0,-4.722,6.4
CNP0107760.1,-7.804,42.3
CNP0107867.1,-9.245,50.9
CNP0110117.1,-7.194,61.1
CNP0112710.0,-4.85,7.0
CNP0112980.1,-7.115,29.9
CNP0113202.2,-8.877,30.2
CNP0113834.1,-9.147,81.1
CNP0114554.1,-7.225,14.2
CNP0116935.2,-7.492,8.1
CNP0117886.0,-4.819,7.0
CNP0118609.1,-5.752,6.8
CNP0120239.1,-8.838,67.8
CNP0121885.0,-7.778,90.0
CNP0122260.0,-7.599,68.8
CNP0122722.1,-5.984,27.8
CNP0123907.0,-8.793,108.2
CNP0124341.0,-6.32,23.3
CNP0124409.1,-5.655,9.0
CNP0125903.1,-8.404,18.5
CNP0126871.0,-4.613,18.7
CNP0127612.1,-7.172,10.1
CNP0129653.1,-7.833,54.6
CNP0129805.1,-7.291,6.5
CNP0130367.2,-8.665,75.3
CNP0131577.0,-10.78,67.2
CNP0133994.1,-8.206,14.6
CNP0134384.1,-3.881,6.0
CNP0134961.0,-9.168,72.7
CNP0135908.1,-9.459,17.8
CNP0136172.7,-9.689,92.1
CNP0137383.1,-8.613,50.9
CNP0138901.1,-7.611,16.0
CNP0141498.0,-4.761,8.9
CNP0143049.2,-8.662,190.4
CNP0143068.1,-6.577,29.6
CNP0143719.0,-6.814,37.9
CNP0144904.1,-5.01,13.4
CNP0145202.0,-3.851,4.4
CNP0145902.1,-5.33,9.5
CNP0148466.1,-7.735,90.6
CNP0149035.2,-8.254,191.8
CNP0150355.1,-5.033,52.0
CNP0152000.1,-7.498,70.5
CNP0153262.0,-5.806,4.6
CNP0156787.1,-7.526,15.2
CNP0158815.3,-7.361,80.8
CNP0158837.0,-4.063,20.4
CNP0159351.2,-5.643,31.5
CNP0160205.1,-5.923,8.9
CNP0160377.0,-3.802,3.7
CNP0162635.1,-8.467,30.5
CNP0163197.0,-4.879,7.7
CNP0163368.2,-7.007,18.7
CNP0163421.0,-8.405,24.0
CNP0164638.1,-7.782,33.0
CNP0164945.1,-8.675,13.4
CNP0165782.1,-8.304,235.9
CNP0166394.0,-4.781,6.6
CNP0166473.1,-6.11,10.0
CNP0167038.1,-9.557,66.1
CNP0167574.1,-7.052,129.8
CNP0167861.2,-10.13,14.7
CNP0167912.0,-8.578,52.1
CNP0167980.0,-6.11,20.5
CNP0168261.2,-7.344,26.6
CNP0169744.0,-9.986,136.3
CNP0173360.1,-7.568,11.7
CNP0173635.1,-8.143,71.7
CNP0174187.0,-6.62,12.9
CNP0174667.1,-5.175,22.4
CNP0175548.0,-8.059,14.1
CNP0176699.0,-6.222,17.8
CNP0176844.2,-6.732,42.0
CNP0176963.3,-8.892,65.3
CNP0181547.0,-6.902,27.1
CNP0181825.2,-7.142,102.9
CNP0181940.1,-7.577,100.6
CNP0182937.1,-7.196,14.5
CNP0183457.0,-6.29,28.4
CNP0183690.1,-7.412,25.9
CNP0184242.2,-7.349,88.8
CNP0185151.1,-8.596,18.8
CNP0187032.1,-6.868,14.0
CNP0187347.1,-7.045,49.6
CNP0187390.0,-9.399,19.9
CNP0189678.2,-5.618,11.8
CNP0190450.0,-5.578,11.1
CNP0190805.1,-10.27,18.7
CNP0196094.0,-9.149,54.3
CNP0196399.0,-9.007,17.1
CNP0197220.1,-8.472,92.5
CNP0198723.1,-7.555,12.9
CNP0198945.1,-7.692,11.3
CNP0200592.0,-3.516,5.0
CNP0200922.1,-7.933,32.2
CNP0201224.0,-5.67,9.1
CNP0201242.0,-6.367,39.3
CNP0201336.2,-7.195,91.5
CNP0201925.2,-7.515,43.4
CNP0202144.1,-3.804,7.7
CNP0203103.1,-6.098,86.7
CNP0203720.7,-6.79,48.5
CNP0204409.2,-5.797,15.4
CNP0204715.1,-7.326,22.9
CNP0205148.2,-8.154,48.9
CNP0206759.1,-6.192,16.6
CNP0208479.2,-4.068,6.5
CNP0210062.1,-9.006,42.8
CNP0210405.2,-8.217,22.6
CNP0211949.1,-8.379,58.7
CNP0213225.1,-6.632,7.5
CNP0213479.1,-6.369,32.0
CNP0216158.1,-6.146,79.6
CNP0216738.1,-10.15,31.3
CNP0219147.1,-7.939,11.8
CNP0219379.1,-3.799,5.4
CNP0220352.1,-9.449,55.8
CNP0220702.0,-7.686,75.5
CNP0221455.0,-5.127,67.7
CNP0221997.1,-7.384,69.1
CNP0222609.2,-10.57,16.8
CNP0224183.1,-9.01,63.5
CNP0225353.2,-7.899,19.7
CNP0227814.2,-8.889,28.7
CNP0231352.2,-6.837,24.3
CNP0232675.1,-8.872,48.6
CNP0233288.2,-7.292,19.4
CNP0234782.1,-8.754,285.5
CNP0238205.0,-10.45,128.5
CNP0239902.4,-7.069,25.4
CNP0240302.0,-4.692,8.3
CNP0241081.1,-6.241,14.1
CNP0242182.1,-6.952,17.7
CNP0242638.1,-7.012,216.5
CNP0243577.1,-8.814,47.8
CNP0244044.1,-7.933,9.1
CNP0244600.0,-5.846,56.6
CNP0247000.1,-8.757,185.4
CNP0247201.1,-8.717,144.7
CNP0248062.1,-10.79,20.8
CNP0250917.1,-7.346,44.0
CNP0251225.3,-7.909,11.5
CNP0251608.1,-5.646,35.7
CNP0251739.2,-8.293,61.6
CNP0252331.3,-6.325,62.0
CNP0253568.1,-7.687,52.8
CNP0253821.1,-11.47,50.2
CNP0253847.1,-8.902,21.6
CNP0254126.0,-4.585,7.2
CNP0256628.1,-8.391,43.3
CNP0257369.0,-7.203,23.9
CNP0257795.2,-9.667,48.8
CNP0258540.1,-9.26,183.5
CNP0258607.1,-7.315,87.5
CNP0258688.0,-5.286,5.9
CNP0258843.1,-8.678,37.9
CNP0260515.2,-6.907,246.0
CNP0261723.0,-7.669,13.2
CNP0262082.0,-8.828,28.0
CNP0262288.1,-8.511,41.0
CNP0262593.1,-7.272,163.7
CNP0262669.2,-7.377,24.9
CNP0263090.4,-6.673,29.4
CNP0263210.1,-8.387,61.4
CNP0263318.2,-6.369,9.0
CNP0263778.0,-4.119,8.2
CNP0263785.2,-8.07,31.4
CNP0263908.2,-5.886,5.5
CNP0263999.1,-9.197,17.7
CNP0265629.0,-7.555,40.1
CNP0265792.1,-5.711,12.4
CNP0265883.0,-3.902,5.0
CNP0266277.0,-5.81,7.4
CNP0266445.0,-4.409,15.9
CNP0267020.2,-9.382,21.3
CNP0267126.1,-7.951,67.6
CNP0267772.1,-8.538,11.9
CNP0267816.1,-8.327,48.7
CNP0267992.0,-4.798,5.8
CNP0268933.1,-7.921,24.7
CNP0269120.1,-8.843,24.4
CNP0270431.1,-9.024,49.1
CNP0270590.2,-6.679,59.7
CNP0270732.1,-10.76,64.7
CNP0270807.4,-7.488,8.9
CNP0271264.0,-5.785,17.1
CNP0272401.8,-7.452,27.9
CNP0274169.1,-8.281,12.4
CNP0276625.0,-7.85,76.2
CNP0277315.1,-7.077,42.2
CNP0277606.1,-9.251,64.8
CNP0280027.1,-8.235,37.9
CNP0280113.1,-8.533,28.7
CNP0283177.1,-6.047,55.4
CNP0283416.0,-5.208,7.4
CNP0283580.1,-6.35,33.5
CNP0284037.1,-9.793,39.8
CNP0284067.1,-6.928,12.1
CNP0284335.1,-10.37,94.3
CNP0284685.2,-6.423,9.6
CNP0285228.1,-9.428,146.0
CNP0285318.3,-8.471,35.4
CNP0285914.3,-5.813,26.7
CNP0286080.2,-6.265,14.0
CNP0286503.4,-4.979,7.8
CNP0286847.2,-9.164,56.0
CNP0286937.1,-5.202,75.3
CNP0287138.1,-7.699,53.1
CNP0287953.1,-7.974,22.2
CNP0288650.1,-9.314,146.4
CNP0288810.1,-7.684,19.7
CNP0289196.0,-7.418,23.4
CNP0290038.1,-7.365,9.9
CNP0290200.1,-8.151,53.4
CNP0292087.0,-7.501,73.0
CNP0292683.0,-7.839,50.9
CNP0292906.1,-8.161,28.2
CNP0293150.1,-7.47,151.5
CNP0293746.0,-9.063,19.1
CNP0294000.1,-8.959,23.0
CNP0294301.1,-8.634,16.1
CNP0294601.1,-9.444,26.1
CNP0298393.1,-8.334,21.7
CNP0298725.1,-7.517,92.8
CNP0298907.0,-4.314,7.5
CNP0299013.1,-9.157,20.7
CNP0300944.1,-5.153,16.5
CNP0301074.1,-7.878,19.1
CNP0304114.1,-7.918,28.9
CNP0304509.1,-8.002,35.0
CNP0305594.0,-5.368,8.0
CNP0306676.1,-7.881,32.4
CNP0307334.0,-5.83,69.1
CNP0307339.0,-10.46,31.7
CNP0308481.1,-7.572,19.4
CNP0309628.1,-8.344,126.3
CNP0309700.1,-7.738,17.9
CNP0309717.1,-9.001,100.0
CNP0309954.0,-9.118,14.9
CNP0311151.0,-7.916,34.7
CNP0312086.0,-6.335,6.3
CNP0312227.0,-5.244,10.4
CNP0313806.1,-8.058,28.6
CNP0315998.1,-6.727,40.6
CNP0316701.0,-8.182,71.6
CNP0317366.1,-4.991,16.7
CNP0320904.1,-6.469,62.4
CNP0321260.1,-6.456,19.9
CNP0321337.1,-7.119,9.1
CNP0322207.1,-8.765,26.2
CNP0322242.0,-6.327,12.2
CNP0322525.1,-7.075,6.4
CNP0324053.1,-7.68,44.4
CNP0325688.1,-7.39,22.4
CNP0325789.1,-7.616,23.1
CNP0326665.1,-5.99,12.3
CNP0327918.1,-8.116,53.9
CNP0328076.0,-4.329,8.2
CNP0328213.1,-7.794,52.3
CNP0328307.1,-9.36,71.3
CNP0328423.1,-7.095,28.1
CNP0328849.1,-8.47,26.5
CNP0328851.0,-7.351,10.2
CNP0329726.1,-8.579,10.2
CNP0329948.1,-8.119,155.4
CNP0330454.1,-7.007,186.8
CNP0331846.2,-7.947,24.2
CNP0332773.1,-8.802,65.6
CNP0333157.1,-7.957,133.1
CNP0333786.1,-5.87,17.9
CNP0334333.0,-6.075,17.0
CNP0334448.1,-9.389,36.1
CNP0334842.0,-7.724,79.5
CNP0335388.1,-8.603,156.9
CNP0335735.0,-6.579,14.5
CNP0335990.0,-6.412,10.2
CNP0337896.0,-4.486,8.3
CNP0338160.0,-3.884,11.6
CNP0338901.3,-7.84,76.3
CNP0339010.3,-8.037,77.4
CNP0340804.1,-6.832,69.2
CNP0342437.0,-4.888,7.6
CNP0342514.1,-7.831,35.7
CNP0342532.1,-7.225,9.0
CNP0342546.0,-8.143,78.8
CNP0342766.0,-9.249,23.4
CNP0343289.0,-9.814,240.5
CNP0343364.1,-7.765,78.1
CNP0343698.2,-8.021,16.7
CNP0344047.0,-6.558,17.7
CNP0344800.1,-9.334,159.8
CNP0344851.0,-4.803,9.3
CNP0345146.0,-8.141,20.6
CNP0345195.0,-5.791,6.5
CNP0345660.0,-9.838,23.6
CNP0345757.0,-10.37,131.1
CNP0346284.1,-8.732,75.8
CNP0346286.0,-7.493,19.7
CNP0346415.1,-9.121,39.6
CNP0346821.1,-8.638,51.0
CNP0347140.1,-8.0,16.8
CNP0347939.1,-9.221,33.0
CNP0349253.0,-8.596,50.3
CNP0349528.1,-8.334,72.7
CNP0349605.0,-5.0,5.7
CNP0350179.0,-4.398,125.2
CNP0351754.1,-4.958,9.4
CNP0352521.1,-9.403,16.2
CNP0354096.0,-4.812,7.8
CNP0354631.2,-8.85,226.9
CNP0355614.1,-5.537,19.9
CNP0356328.1,-6.241,49.2
CNP0356385.1,-7.69,129.9
CNP0357356.1,-10.1,97.5
CNP0357483.0,-5.714,10.7
CNP0357867.1,-7.354,116.9
CNP0360209.0,-9.847,113.5
CNP0361423.4,-7.885,22.2
CNP0361831.0,-8.589,117.0
CNP0361945.4,-7.496,125.5
CNP0362387.1,-6.868,30.0
