identifier,best_affinity_kcal_mol,runtime_seconds
CNP0000179.1,-5.782,55.2
CNP0000481.0,-4.485,8.1
CNP0000498.0,-4.651,4.8
CNP0001141.0,-4.622,4.7
CNP0002551.0,-3.671,7.9
CNP0002558.0,-4.361,3.9
CNP0002681.0,-5.107,93.5
CNP0002810.0,-4.588,8.4
CNP0002880.2,-5.8,42.8
CNP0003127.0,-5.053,58.0
CNP0004165.1,-5.291,35.3
CNP0006960.0,-6.73,9.0
CNP0007509.0,-5.486,37.1
CNP0009483.0,-4.673,15.8
CNP0009894.0,-6.937,43.2
CNP0010697.1,-5.821,26.7
CNP0012401.1,-7.189,125.2
CNP0012762.1,-6.322,39.8
CNP0012768.1,-5.678,179.6
CNP0012819.1,-6.059,90.0
CNP0015312.1,-6.7,81.7
CNP0017878.1,-4.441,11.4
CNP0028182.0,-6.413,10.9
CNP0029319.0,-3.856,8.8
CNP0031886.2,-6.52,38.0
CNP0032690.0,-7.001,44.8
CNP0033628.0,-6.421,37.3
CNP0034186.0,-4.26,6.2
CNP0035382.4,-6.064,7.0
CNP0036237.0,-4.379,5.3
CNP0040136.0,-5.857,49.1
CNP0043166.0,-4.431,5.3
CNP0044216.1,-6.556,75.0
CNP0046119.0,-5.133,12.4
CNP0046663.0,-4.338,5.5
CNP0046877.0,-4.631,11.8
CNP0048666.3,-6.939,14.6
CNP0050017.0,-6.339,9.3
CNP0052569.0,-3.906,6.0
CNP0057121.1,-5.884,135.9
CNP0057156.1,-7.786,58.8
CNP0060412.2,-4.49,9.6
CNP0061244.0,-4.705,6.4
CNP0065073.1,-4.518,12.3
CNP0065586.0,-5.441,7.0
CNP0067099.1,-4.866,80.0
CNP0068366.1,-5.153,12.4
CNP0068852.0,-5.144,55.4
CNP0069103.1,-6.98,140.1
CNP0070284.1,-5.854,15.7
CNP0071185.1,-6.385,40.3
CNP0071334.1,-4.763,41.2
CNP0071487.1,-8.392,35.1
CNP0072275.2,-7.578,89.2
CNP0073174.0,-5.761,41.2
CNP0073685.1,-4.713,30.0
CNP0075322.0,-4.515,6.6
CNP0075379.0,-3.776,7.8
CNP0075809.1,-5.427,9.1
CNP0075914.1,-6.237,24.5
CNP0077273.0,-4.61,6.3
CNP0077944.1,-5.918,9.8
CNP0081604.1,-6.344,66.3
CNP0084192.0,-4.641,6.6
CNP0085480.0,-6.817,13.1
CNP0085700.1,-6.301,8.1
CNP0085979.0,-7.008,9.1
CNP0086772.0,-7.962,29.6
CNP0087319.1,-4.022,21.5
CNP0087845.1,-7.021,63.0
CNP0088043.0,-5.906,23.3
CNP0088268.1,-4.94,8.3
CNP0089619.1,-6.009,143.3
CNP0091102.0,-4.764,9.0
CNP0092248.1,-8.245,239.9
CNP0094084.0,-3.336,7.2
CNP0096096.1,-6.847,143.1
CNP0097100.1,-5.259,101.4
CNP0097924.1,-6.052,74.4
CNP0098724.1,-5.464,43.5
CNP0099605.1,-6.942,79.3
CNP0101842.1,-5.671,52.3
CNP0102021.1,-8.261,198.4
CNP0102652.3,-5.458,235.4
CNP0104532.0,-7.127,9.7
CNP0105560.0,-5.475,28.6
CNP0106028.1,-5.317,8.0
CNP0106375.0,-4.469,5.6
CNP0107760.1,-6.123,36.3
CNP0107867.1,-7.262,50.1
CNP0110117.1,-5.251,47.5
CNP0112710.0,-4.426,5.6
CNP0112980.1,-4.637,26.0
CNP0113202.2,-5.956,27.0
CNP0113834.1,-6.945,71.3
CNP0114554.1,-5.895,12.7
CNP0116935.2,-5.563,7.1
CNP0117886.0,-4.631,6.3
CNP0118609.1,-5.297,5.8
CNP0120239.1,-6.545,73.2
CNP0121885.0,-5.579,77.1
CNP0122260.0,-5.858,61.9
CNP0122722.1,-4.407,23.2
CNP0123907.0,-6.809,104.9
CNP0124341.0,-5.387,25.2
CNP0124409.1,-3.916,5.6
CNP0125903.1,-5.865,16.6
CNP0126871.0,-4.211,16.1
CNP0127612.1,-5.807,9.7
CNP0129653.1,-5.732,48.5
CNP0129805.1,-6.155,5.4
CNP0130367.2,-6.278,68.1
CNP0131577.0,-8.379,64.3
CNP0133994.1,-5.539,13.4
CNP0134384.1,-3.62,3.5
CNP0134961.0,-7.579,62.4
CNP0135908.1,-5.971,16.5
CNP0136172.7,-8.454,73.6
CNP0137383.1,-6.456,44.4
CNP0138901.1,-5.291,15.8
CNP0141498.0,-4.511,5.8
CNP0143049.2,-6.283,198.6
CNP0143068.1,-5.617,29.4
CNP0143719.0,-6.166,33.5
CNP0144904.1,-4.566,12.7
CNP0145202.0,-3.929,3.9
CNP0145902.1,-4.715,8.6
CNP0148466.1,-6.082,90.2
CNP0149035.2,-5.227,175.1
CNP0150355.1,-4.551,46.8
CNP0152000.1,-5.8,58.9
CNP0153262.0,-5.107,5.1
CNP0156787.1,-5.959,11.9
CNP0158815.3,-5.57,63.6
CNP0158837.0,-4.167,17.5
CNP0159351.2,-4.665,28.4
CNP0160205.1,-5.007,5.5
CNP0160377.0,-3.362,3.0
CNP0162635.1,-6.528,25.6
CNP0163197.0,-4.512,6.9
CNP0163368.2,-5.506,17.6
CNP0163421.0,-7.352,25.8
CNP0164638.1,-6.273,29.7
CNP0164945.1,-6.188,11.8
CNP0165782.1,-6.537,236.3
CNP0166394.0,-4.471,5.9
CNP0166473.1,-4.094,8.3
CNP0167038.1,-6.98,64.8
CNP0167574.1,-5.374,132.7
CNP0167861.2,-7.286,11.7
CNP0167912.0,-6.989,53.3
CNP0167980.0,-5.346,17.9
CNP0168261.2,-6.049,26.9
CNP0169744.0,-7.928,123.6
CNP0173360.1,-6.177,10.6
CNP0173635.1,-7.308,69.6
CNP0174187.0,-5.662,13.2
CNP0174667.1,-4.579,18.6
CNP0175548.0,-6.926,12.6
CNP0176699.0,-5.531,15.3
CNP0176844.2,-5.387,41.7
CNP0176963.3,-6.567,62.6
CNP0181547.0,-5.258,24.6
CNP0181825.2,-4.293,113.3
CNP0181940.1,-5.844,86.3
CNP0182937.1,-4.958,11.7
CNP0183457.0,-5.151,24.0
CNP0183690.1,-5.503,23.2
CNP0184242.2,-5.444,83.4
CNP0185151.1,-6.801,17.1
CNP0187032.1,-5.766,9.7
CNP0187347.1,-5.726,46.4
CNP0187390.0,-6.204,17.6
CNP0189678.2,-4.97,9.6
CNP0190450.0,-5.263,11.0
CNP0190805.1,-6.924,16.0
CNP0196094.0,-6.801,49.2
CNP0196399.0,-7.223,16.7
CNP0197220.1,-6.383,82.8
CNP0198723.1,-5.249,11.3
CNP0198945.1,-6.345,11.5
CNP0200592.0,-3.485,3.0
CNP0200922.1,-6.462,29.2
CNP0201224.0,-5.026,8.9
CNP0201242.0,-5.366,33.3
CNP0201336.2,-5.671,93.7
CNP0201925.2,-5.449,37.6
CNP0202144.1,-3.538,5.4
CNP0203103.1,-4.687,81.0
CNP0203720.7,-5.655,40.4
CNP0204409.2,-4.671,13.9
CNP0204715.1,-6.347,23.0
CNP0205148.2,-5.335,42.3
CNP0206759.1,-5.249,16.5
CNP0208479.2,-3.769,5.9
CNP0210062.1,-6.915,34.3
CNP0210405.2,-5.782,21.8
CNP0211949.1,-6.184,50.1
CNP0213225.1,-5.782,6.6
CNP0213479.1,-4.942,27.8
CNP0216158.1,-5.437,80.1
CNP0216738.1,-8.004,25.2
CNP0219147.1,-6.115,8.4
CNP0219379.1,-3.671,6.7
CNP0220352.1,-7.544,34.3
CNP0220702.0,-5.671,65.7
CNP0221455.0,-3.63,47.1
CNP0221997.1,-5.061,60.7
CNP0222609.2,-6.862,15.2
CNP0224183.1,-6.51,49.1
CNP0225353.2,-4.871,16.4
