identifier,canonical_smiles,molecular_weight,alogp,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors_lipinski,hydrogen_bond_donors_lipinski,lipinski_rule_of_five_violations,qed_drug_likeliness,np_classifier_superclass,parent_family,pains_alert,DsbA_affinity,Irp3_affinity,row_idx,UMAP1,UMAP2,consensus_score,heavy_atom_count,DsbA_LE,Irp3_LE,consensus_LE
CNP0437535.0,O=C1C(C2=CC=C(Cl)C=C2)=COC2=C3CN(CCN4CCOCC4)COC3=CC=C12,426.9,3.6,55.15,4,6,0,0,0.64,Isoflavonoids,Flavonoids,False,-7.365,-9.235,101248,3.3067386,6.6598554,-8.3,30,0.2455,0.3078333333333333,0.2766666666666666
CNP0134384.1,C=C/C(C)=C\C,82.15,2.14,0.0,1,0,0,0,0.42,Monoterpenoids,Terpenoids,False,-3.62,-3.881,2925,2.30794,3.9962833,-3.7504999999999997,6,0.6033333333333334,0.6468333333333333,0.6250833333333333
CNP0509930.0,N[Co-3](N)(N)([NH3+])([NH3+])[NH3+],158.1,-5.7,160.98,0,3,6,1,0.21,Ornithine alkaloids,Alkaloids,False,-3.458,-3.142,40360,1.9041852,3.7813723,-3.3,7,0.49400000000000005,0.44885714285714284,0.4714285714285714
CNP0187390.0,C1CCC(C23CC(CC4CCCNC42)C2CCCNC2C3)NC1,317.52,2.67,36.09,1,3,3,0,0.7,Lysine alkaloids,Alkaloids,False,-6.204,-9.399,264299,0.6986319,4.4374166,-7.801499999999999,23,0.2697391304347826,0.4086521739130434,0.339195652173913
CNP0160377.0,C1=CC=NC=C1,79.1,1.08,12.89,0,1,0,0,0.45,Nicotinic acid alkaloids,Alkaloids,False,-3.362,-3.802,105346,5.302067,6.0836744,-3.582,6,0.5603333333333333,0.6336666666666667,0.597
CNP0158815.3,COC1=CC(OC)=C([C@H]2C3=C(OC)C(OC)=CC(OC)=C3C=C(C)[C@H]2C)C=C1OC,414.5,4.92,55.38,7,6,0,0,0.64,Lignans,Phenolics,False,-5.57,-7.361,26310,3.274662,7.828249,-6.4655000000000005,30,0.18566666666666667,0.24536666666666665,0.21551666666666666
CNP0334333.0,CSC1=NC(=NC(C)C)NC(=NC(C)C)N1,241.36,1.08,69.19,3,4,2,0,0.78,Pseudoalkaloids,Alkaloids,False,-5.108,-6.075,10627,4.689359,4.844454,-5.5915,16,0.31925,0.3796875,0.34946875
CNP0145202.0,C1N2CN3CN1CN(C2)C3,140.19,-1.02,12.96,0,4,0,0,0.43,Ornithine alkaloids,Alkaloids,False,-3.929,-3.851,150137,1.4326977,4.5819917,-3.8899999999999997,10,0.39289999999999997,0.3851,0.389
CNP0160205.1,CC1(C)C=C[C@@]2(CCC(C)(C)O2)O1,182.26,2.64,18.46,0,2,0,0,0.54,Monoterpenoids,Terpenoids,False,-5.007,-5.923,270144,-0.43220443,5.559,-5.465,13,0.3851538461538461,0.45561538461538464,0.42038461538461536
CNP0598889.1,NN=C(N)/C([S-])=[NH+]/N,133.18,-3.88,104.39,1,4,4,0,0.1,Pseudoalkaloids,Alkaloids,False,-3.912,-4.09,4143,3.637933,4.460104,-4.0009999999999994,8,0.489,0.51125,0.5001249999999999
CNP0588422.1,C1=C/CC2=C[N+](=CC=C2)CCCCCCCCCCC2=C[N+](=CC=C2)CCCCCCC/1,434.71,7.08,7.76,0,0,0,1,0.31,Nicotinic acid alkaloids,Alkaloids,False,-7.889,-9.221,232395,2.5422258,6.2353983,-8.555,32,0.24653125,0.28815625,0.26734375
CNP0581752.1,O=C(N/C=C/C1=CNC2=CC=C(Br)C=C12)C(=O)C1=CNC2=C(O)C=CC=C12,424.25,4.09,97.98,4,3,4,0,0.29,Tryptophan alkaloids,Alkaloids,False,-7.304,-9.056,27503,3.956426,5.1383142,-8.18,27,0.27051851851851855,0.3354074074074074,0.302962962962963
CNP0386869.0,ClC1=C(Cl)C(Cl)=C(C2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,498.66,9.89,0.0,1,0,0,1,0.27,Proline alkaloids,Alkaloids,False,-4.941,-7.125,139142,4.510875,6.075654,-6.0329999999999995,22,0.2245909090909091,0.32386363636363635,0.2742272727272727
CNP0475545.0,NC(N)(CO)COCOC(N)(N)CO,210.23,-3.85,163.0,7,8,6,1,0.18,Ornithine alkaloids,Alkaloids,False,-4.011,-4.274,138315,2.4253983,3.4754114,-4.1425,14,0.28650000000000003,0.30528571428571427,0.2958928571428572
CNP0176844.2,CCCC/C=C/C=C/C#CCCC1CCCN1CC,259.44,4.56,3.24,7,1,0,0,0.37,Lysine alkaloids,Alkaloids,False,-5.387,-6.732,47907,1.5614654,4.6269374,-6.0595,19,0.2835263157894737,0.3543157894736842,0.31892105263157894
CNP0609512.0,N=C1N=C2N=C[N+]([O-])=C2C(=O)N1,165.11,-1.56,103.74,0,4,2,0,0.33,Pseudoalkaloids,Alkaloids,False,-5.246,-5.74,127990,4.5945764,4.0734787,-5.493,12,0.4371666666666667,0.47833333333333333,0.45775
CNP0158837.0,CN(N)P(=S)(N(C)N)N(C)N,198.24,-1.37,87.78,3,4,3,0,0.29,Ornithine alkaloids,Alkaloids,False,-4.167,-4.063,42145,1.9533585,3.8587492,-4.115,11,0.3788181818181818,0.36936363636363634,0.37409090909090903
CNP0002681.0,OCC(O)C(O)CC1=CN=C(C(O)C(O)C(O)CO)C=N1,304.3,-3.52,167.39,8,9,7,1,0.26,Tetramate alkaloids,Alkaloids,False,-5.107,-5.873,190054,4.16456,4.560544,-5.49,21,0.2431904761904762,0.2796666666666667,0.26142857142857145
CNP0425271.1,C=C(C(=O)O)[C@H]1C[C@@H]2C(=C)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@H]2C(=C)C[C@@H]1O,426.46,-0.67,156.91,5,8,6,1,0.25,Sesquiterpenoids,Terpenoids,False,-6.857,-8.137,92672,1.4295207,6.4632,-7.497,30,0.22856666666666667,0.2712333333333333,0.2499
CNP0141498.0,OC1=NSC2=C1CCNC2,156.21,0.49,45.15,0,4,2,0,0.57,Lysine alkaloids,Alkaloids,False,-4.511,-4.761,101628,1.3503768,4.06658,-4.636,10,0.4511,0.4761,0.4636
CNP0538535.0,C1=CC2=C3C=CC(=CC4=[O+]C(=C5C=CC(=CC1=[O+]2)O5)C=C4)O3,290.27,-0.29,48.88,0,2,0,0,0.63,Flavonoids,Flavonoids,False,-6.623,-7.754,202881,2.7445092,7.095406,-7.1884999999999994,22,0.30104545454545456,0.3524545454545454,0.32675
CNP0443307.0,NCCC1=CC(N)=C(CCN)C(N)=C1,194.28,-0.15,104.08,4,4,4,0,0.5,Ornithine alkaloids,Alkaloids,False,-4.999,-5.593,29936,3.5470874,4.955367,-5.295999999999999,14,0.35707142857142854,0.3995,0.3782857142857143
CNP0288650.1,S=C(NC1CCCCC1)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2N1N=NN=C1OC1=CC=C(N2C=CN=C2)C=C1,496.6,2.16,113.17,6,10,2,0,0.49,Tryptophan alkaloids,Alkaloids,False,-6.825,-9.314,81843,3.0383077,5.6867194,-8.0695,35,0.195,0.2661142857142857,0.23055714285714285
CNP0221455.0,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,384.85,4.83,36.92,8,4,0,0,0.56,Pseudoalkaloids,Alkaloids,False,-3.63,-5.127,147001,2.681863,4.422852,-4.3785,21,0.17285714285714285,0.24414285714285713,0.2085
CNP0378121.1,CC1=C2C[C@]34[C@H]5CC[C@@H]6CCC[C@@]63C[C@@H](C)[C@@]2(CC1)[C@]4(C)CC#CC[C@@H]1CCC[C@@]12CN52,429.69,7.12,3.01,0,1,0,1,0.22,Pseudoalkaloids,Alkaloids,False,-7.235,-8.849,92004,0.23832585,6.6926866,-8.042,32,0.22609375,0.27653125,0.2513125
CNP0052569.0,C[N+]1([O-])CCCCC1,115.18,1.11,23.06,0,1,0,0,0.34,Lysine alkaloids,Alkaloids,False,-3.906,-3.977,220507,1.3519652,4.7162313,-3.9415,8,0.48825,0.497125,0.4926875
CNP0335735.0,CC1(C)C2(Cl)C(Cl)C(Cl)C(Cl)(C(Cl)Cl)C1(Cl)C2Cl,413.81,5.6,0.0,1,0,0,1,0.49,Monoterpenoids,Terpenoids,False,-3.802,-6.579,103485,-0.4482433,5.4257536,-5.1905,18,0.21122222222222223,0.3655,0.2883611111111111
CNP0088268.1,CC(C)[C@H]1CC[C@@H](C)C/C=C\[C@H](C)CC1,208.39,5.05,0.0,1,0,0,1,0.53,Sesquiterpenoids,Terpenoids,False,-4.94,-7.151,231603,2.537837,5.395258,-6.0455000000000005,15,0.32933333333333337,0.47673333333333334,0.40303333333333335
CNP0057121.1,C/C(=C\C=C\[C@H](C)/C=C/CC(C)C)[C@H]1[C@@H](O)C=C(CNCCS(=O)(=O)O)C(=O)[C@@H]1O,441.59,2.05,123.93,11,6,4,0,0.17,Diterpenoids,Terpenoids,False,-5.884,-7.774,60383,2.121006,5.888838,-6.829000000000001,30,0.19613333333333335,0.2591333333333333,0.22763333333333335
CNP0028182.0,ClC1=CC=CC2=C1N=C(NC1=NC3=CC=CC=C3O1)S2,301.76,4.83,50.95,2,5,1,0,0.58,Anthranilic acid alkaloids,Alkaloids,False,-6.413,-8.322,10999,4.686285,6.7093415,-7.3675,20,0.32065,0.41609999999999997,0.368375
CNP0540149.1,O=[N+]([O-])C1=CC=C(/N=C(\O)C(Cl)(C(F)(F)F)C(F)(F)F)C([N+](=O)[O-])=C1,395.6,4.19,118.87,4,5,1,0,0.2,Pseudoalkaloids,Alkaloids,False,-5.938,-7.306,15739,4.9234505,6.358672,-6.622,25,0.23751999999999998,0.29224,0.26488
CNP0534663.0,CC1=CC=C2C(C)=[N+](C)C(C)=CN12,175.26,1.69,8.29,0,1,0,0,0.54,Tryptophan alkaloids,Alkaloids,False,-5.177,-5.876,114951,4.2376623,5.9364386,-5.5265,13,0.3982307692307692,0.452,0.4251153846153846
CNP0546316.0,CNC1=NC=NC2=C1N=C[NH+]2C,164.19,-0.66,54.61,1,4,2,0,0.58,Pseudoalkaloids,Alkaloids,False,-4.576,-4.836,103484,4.8418775,4.903124,-4.7059999999999995,12,0.3813333333333333,0.403,0.39216666666666666
CNP0460991.0,CSCCCNCCNCCCSC,236.45,1.67,24.06,11,4,2,0,0.53,Ornithine alkaloids,Alkaloids,False,-3.41,-4.183,191401,2.6993334,3.490186,-3.7965,14,0.24357142857142858,0.29878571428571427,0.27117857142857144
CNP0266277.0,CN1C(=O)C2=C(N(C)C1=O)N(C)C(=O)N2C,224.22,-1.73,70.93,0,7,0,0,0.53,Pseudoalkaloids,Alkaloids,False,-4.965,-5.81,42828,4.4018216,4.345145,-5.387499999999999,16,0.3103125,0.363125,0.33671874999999996
CNP0329726.1,C1=CC[C@@H]2CC3=C4C(=C5OCOC5=CC4=CCN3)C2=C1,265.31,1.27,30.49,0,3,1,0,0.77,Tyrosine alkaloids,Alkaloids,False,-7.075,-8.579,247117,1.8987627,7.8176904,-7.827,20,0.35375,0.42895000000000005,0.39135000000000003
CNP0307334.0,CC(C)NP(=O)(NC(C)C)OP(=O)(NC(C)C)NC(C)C,342.36,3.21,91.49,10,3,4,0,0.45,Pseudoalkaloids,Alkaloids,False,-4.562,-5.83,86939,3.1172366,4.084013,-5.196,21,0.21723809523809526,0.2776190476190476,0.24742857142857144
CNP0244600.0,N#CCCNC(=S)CCNC(=S)C1=CC=C(O)C=C1,293.42,1.88,68.08,6,4,3,0,0.55,Ornithine alkaloids,Alkaloids,False,-4.862,-5.846,132439,3.7803588,4.8514166,-5.354,19,0.2558947368421053,0.3076842105263158,0.28178947368421053
CNP0242638.1,CC(=O)O/C=C/C(=C/OC(C)=O)CC/C=C(/CC/C=C(\C)CCC=C(C)C)COC(C)=O,446.58,6.25,78.9,14,6,0,1,0.1,Diterpenoids,Terpenoids,False,-5.04,-7.012,134030,1.5723094,5.755761,-6.026,32,0.1575,0.219125,0.1883125
CNP0496599.1,CC[C@@]12COCC1=C(C)C(=O)C1(O)[C@]3(C)C(=O)[C@@](O)(CC(C)=O)C(=O)C(C)=C3CO[C@]12O,448.47,-0.05,147.43,3,9,3,0,0.51,Sesquiterpenoids,Terpenoids,False,-5.842,-7.684,94865,0.8804235,7.0376153,-6.763,32,0.1825625,0.240125,0.21134375
CNP0061244.0,N=C(N)NC(=N)N1CCSCC1,187.27,-0.55,88.99,0,3,4,0,0.3,Lysine alkaloids,Alkaloids,False,-4.705,-6.014,33742,2.1759388,4.4632382,-5.359500000000001,12,0.39208333333333334,0.5011666666666666,0.446625
